CMDLINE C:\Users\Sourour\AppData\Local\Programs\Python\Python311\python.exe Scraper(Motory)[SD]{Modified}.py
MEM 107.652344 1707396851.6600
MEM 107.652344 1707396851.7604
MEM 107.652344 1707396851.8610
MEM 107.652344 1707396851.9617
MEM 107.652344 1707396852.0622
MEM 107.652344 1707396852.1625
MEM 107.652344 1707396852.2627
MEM 107.652344 1707396852.3631
MEM 107.652344 1707396852.4638
MEM 107.652344 1707396852.5641
MEM 107.652344 1707396852.6644
MEM 107.652344 1707396852.7646
MEM 107.652344 1707396852.8647
MEM 107.652344 1707396852.9654
MEM 107.652344 1707396853.0661
MEM 107.652344 1707396853.1663
MEM 107.652344 1707396853.2667
MEM 107.652344 1707396853.3671
MEM 107.652344 1707396853.4677
MEM 107.656250 1707396853.5682
MEM 107.660156 1707396853.6684
MEM 107.660156 1707396853.7689
MEM 107.660156 1707396853.8692
MEM 107.660156 1707396853.9694
MEM 107.660156 1707396854.0696
MEM 107.660156 1707396854.1702
MEM 107.660156 1707396854.2708
MEM 107.660156 1707396854.3709
MEM 107.660156 1707396854.4713
MEM 107.660156 1707396854.5718
MEM 107.660156 1707396854.6724
MEM 107.660156 1707396854.7726
MEM 107.660156 1707396854.8733
MEM 107.660156 1707396854.9736
MEM 107.660156 1707396855.0742
MEM 107.660156 1707396855.1748
MEM 107.660156 1707396855.2751
MEM 107.660156 1707396855.3756
MEM 107.660156 1707396855.4759
MEM 107.660156 1707396855.5763
MEM 107.660156 1707396855.6767
MEM 107.660156 1707396855.7770
MEM 107.660156 1707396855.8776
MEM 107.660156 1707396855.9779
MEM 107.660156 1707396856.0787
MEM 107.660156 1707396856.1792
MEM 107.660156 1707396856.2799
MEM 107.660156 1707396856.3801
MEM 107.660156 1707396856.4807
MEM 107.660156 1707396856.5813
MEM 107.660156 1707396856.6820
MEM 107.660156 1707396856.7824
MEM 107.660156 1707396856.8828
MEM 107.660156 1707396856.9835
MEM 107.660156 1707396857.0842
MEM 107.660156 1707396857.1846
MEM 107.660156 1707396857.2850
MEM 107.660156 1707396857.3892
MEM 107.660156 1707396857.4905
MEM 107.660156 1707396857.5912
MEM 107.660156 1707396857.6915
MEM 107.660156 1707396857.7921
MEM 107.660156 1707396857.8927
MEM 107.660156 1707396857.9934
MEM 107.660156 1707396858.0938
MEM 107.660156 1707396858.1946
MEM 107.660156 1707396858.2949
MEM 107.660156 1707396858.3952
MEM 107.660156 1707396858.4958
MEM 107.660156 1707396858.5963
MEM 107.660156 1707396858.6966
MEM 107.660156 1707396858.7970
MEM 107.660156 1707396858.8974
MEM 107.660156 1707396858.9979
MEM 107.660156 1707396859.0984
MEM 107.660156 1707396859.1989
MEM 107.660156 1707396859.2993
MEM 107.660156 1707396859.3999
MEM 107.660156 1707396859.5001
MEM 107.660156 1707396859.6005
MEM 107.660156 1707396859.7011
MEM 107.660156 1707396859.8017
MEM 107.660156 1707396859.9024
MEM 107.660156 1707396860.0029
MEM 107.660156 1707396860.1035
MEM 107.660156 1707396860.2041
MEM 107.660156 1707396860.3046
MEM 107.660156 1707396860.4051
MEM 107.660156 1707396860.5057
MEM 107.660156 1707396860.6060
MEM 107.660156 1707396860.7062
MEM 107.660156 1707396860.8069
MEM 107.660156 1707396860.9080
MEM 107.660156 1707396861.0086
MEM 107.660156 1707396861.1089
MEM 107.660156 1707396861.2094
MEM 107.660156 1707396861.3096
MEM 107.660156 1707396861.4100
MEM 107.660156 1707396861.5105
MEM 107.660156 1707396861.6126
MEM 107.660156 1707396861.7132
MEM 107.660156 1707396861.8136
MEM 107.660156 1707396861.9139
MEM 107.660156 1707396862.0144
MEM 107.660156 1707396862.1146
MEM 107.660156 1707396862.2151
MEM 107.660156 1707396862.3154
MEM 107.660156 1707396862.4159
MEM 107.660156 1707396862.5161
MEM 107.660156 1707396862.6165
MEM 107.660156 1707396862.7168
MEM 107.660156 1707396862.8174
MEM 107.660156 1707396862.9178
MEM 107.660156 1707396863.0183
MEM 107.660156 1707396863.1187
MEM 107.660156 1707396863.2192
MEM 107.660156 1707396863.3199
MEM 107.660156 1707396863.4202
MEM 107.660156 1707396863.5321
MEM 107.660156 1707396863.6331
MEM 107.660156 1707396863.7336
MEM 107.660156 1707396863.8345
MEM 107.660156 1707396863.9350
MEM 107.660156 1707396864.0354
MEM 107.660156 1707396864.1356
MEM 107.660156 1707396864.2361
MEM 107.660156 1707396864.3368
MEM 107.660156 1707396864.4371
MEM 107.660156 1707396864.5374
MEM 107.660156 1707396864.6380
MEM 107.660156 1707396864.7384
MEM 107.660156 1707396864.8387
MEM 107.660156 1707396864.9393
MEM 107.660156 1707396865.0400
MEM 107.660156 1707396865.1405
MEM 107.660156 1707396865.2412
MEM 107.660156 1707396865.3416
MEM 107.660156 1707396865.4423
MEM 107.660156 1707396865.5429
MEM 107.660156 1707396865.6432
MEM 107.660156 1707396865.7435
MEM 107.660156 1707396865.8439
MEM 107.660156 1707396865.9441
MEM 107.660156 1707396866.0445
MEM 107.660156 1707396866.1448
MEM 107.660156 1707396866.2450
MEM 107.660156 1707396866.3453
MEM 107.660156 1707396866.4458
MEM 107.660156 1707396866.5463
MEM 107.660156 1707396866.6470
MEM 107.660156 1707396866.7474
MEM 107.660156 1707396866.8478
MEM 107.660156 1707396866.9481
MEM 107.660156 1707396867.0485
MEM 107.660156 1707396867.1491
MEM 107.660156 1707396867.2498
